machine,day,failure
M-01,Day-01,0
M-01,Day-02,0
M-01,Day-03,0
M-01,Day-04,0
M-01,Day-05,0
M-01,Day-06,2
M-01,Day-07,15
M-01,Day-08,34
M-01,Day-09,32
M-01,Day-10,14
M-01,Day-11,1
M-01,Day-12,0
M-01,Day-13,0
M-01,Day-14,0
M-01,Day-15,0
M-02,Day-01,0
M-02,Day-02,0
M-02,Day-03,2
M-02,Day-04,14
M-02,Day-05,32
M-02,Day-06,35
M-02,Day-07,12
M-02,Day-08,2
M-02,Day-09,0
M-02,Day-10,0
M-02,Day-11,0
M-02,Day-12,0
M-02,Day-13,0
M-02,Day-14,0
M-02,Day-15,0
M-03,Day-01,0
M-03,Day-02,0
M-03,Day-03,0
M-03,Day-04,0
M-03,Day-05,0
M-03,Day-06,0
M-03,Day-07,4
M-03,Day-08,17
M-03,Day-09,28
M-03,Day-10,27
M-03,Day-11,14
M-03,Day-12,6
M-03,Day-13,0
M-03,Day-14,0
M-03,Day-15,0
M-04,Day-01,0
M-04,Day-02,0
M-04,Day-03,0
M-04,Day-04,0
M-04,Day-05,2
M-04,Day-06,14
M-04,Day-07,34
M-04,Day-08,33
M-04,Day-09,12
M-04,Day-10,2
M-04,Day-11,0
M-04,Day-12,0
M-04,Day-13,0
M-04,Day-14,0
M-04,Day-15,0
M-05,Day-01,0
M-05,Day-02,0
M-05,Day-03,0
M-05,Day-04,0
M-05,Day-05,0
M-05,Day-06,2
M-05,Day-07,13
M-05,Day-08,34
M-05,Day-09,33
M-05,Day-10,14
M-05,Day-11,2
M-05,Day-12,0
M-05,Day-13,0
M-05,Day-14,0
M-05,Day-15,0
M-06,Day-01,0
M-06,Day-02,0
M-06,Day-03,3
M-06,Day-04,48
M-06,Day-05,45
M-06,Day-06,2
M-06,Day-07,0
M-06,Day-08,0
M-06,Day-09,0
M-06,Day-10,0
M-06,Day-11,0
M-06,Day-12,0
M-06,Day-13,0
M-06,Day-14,0
M-06,Day-15,0
M-07,Day-01,0
M-07,Day-02,0
M-07,Day-03,7
M-07,Day-04,42
M-07,Day-05,41
M-07,Day-06,8
M-07,Day-07,0
M-07,Day-08,0
M-07,Day-09,0
M-07,Day-10,0
M-07,Day-11,0
M-07,Day-12,0
M-07,Day-13,0
M-07,Day-14,0
M-07,Day-15,0
M-08,Day-01,0
M-08,Day-02,0
M-08,Day-03,0
M-08,Day-04,0
M-08,Day-05,0
M-08,Day-06,0
M-08,Day-07,0
M-08,Day-08,10
M-08,Day-09,40
M-08,Day-10,42
M-08,Day-11,6
M-08,Day-12,0
M-08,Day-13,0
M-08,Day-14,0
M-08,Day-15,0
M-09,Day-01,5
M-09,Day-02,16
M-09,Day-03,27
M-09,Day-04,30
M-09,Day-05,15
M-09,Day-06,4
M-09,Day-07,0
M-09,Day-08,0
M-09,Day-09,0
M-09,Day-10,0
M-09,Day-11,0
M-09,Day-12,0
M-09,Day-13,0
M-09,Day-14,0
M-09,Day-15,0
M-10,Day-01,0
M-10,Day-02,0
M-10,Day-03,0
M-10,Day-04,2
M-10,Day-05,13
M-10,Day-06,34
M-10,Day-07,33
M-10,Day-08,14
M-10,Day-09,2
M-10,Day-10,0
M-10,Day-11,0
M-10,Day-12,0
M-10,Day-13,0
M-10,Day-14,0
M-10,Day-15,0
M-11,Day-01,0
M-11,Day-02,0
M-11,Day-03,0
M-11,Day-04,0
M-11,Day-05,0
M-11,Day-06,0
M-11,Day-07,0
M-11,Day-08,0
M-11,Day-09,0
M-11,Day-10,1
M-11,Day-11,14
M-11,Day-12,33
M-11,Day-13,36
M-11,Day-14,12
M-11,Day-15,1
M-12,Day-01,0
M-12,Day-02,0
M-12,Day-03,0
M-12,Day-04,0
M-12,Day-05,0
M-12,Day-06,0
M-12,Day-07,0
M-12,Day-08,0
M-12,Day-09,4
M-12,Day-10,17
M-12,Day-11,28
M-12,Day-12,27
M-12,Day-13,17
M-12,Day-14,4
M-12,Day-15,0
M-13,Day-01,0
M-13,Day-02,0
M-13,Day-03,0
M-13,Day-04,0
M-13,Day-05,0
M-13,Day-06,8
M-13,Day-07,41
M-13,Day-08,40
M-13,Day-09,8
M-13,Day-10,0
M-13,Day-11,0
M-13,Day-12,0
M-13,Day-13,0
M-13,Day-14,0
M-13,Day-15,0
M-14,Day-01,0
M-14,Day-02,0
M-14,Day-03,0
M-14,Day-04,0
M-14,Day-05,0
M-14,Day-06,1
M-14,Day-07,6
M-14,Day-08,16
M-14,Day-09,26
M-14,Day-10,24
M-14,Day-11,15
M-14,Day-12,6
M-14,Day-13,1
M-14,Day-14,0
M-14,Day-15,0
M-15,Day-01,0
M-15,Day-02,0
M-15,Day-03,0
M-15,Day-04,0
M-15,Day-05,0
M-15,Day-06,0
M-15,Day-07,0
M-15,Day-08,1
M-15,Day-09,16
M-15,Day-10,30
M-15,Day-11,36
M-15,Day-12,13
M-15,Day-13,1
M-15,Day-14,0
M-15,Day-15,0
M-16,Day-01,0
M-16,Day-02,0
M-16,Day-03,0
M-16,Day-04,0
M-16,Day-05,2
M-16,Day-06,44
M-16,Day-07,51
M-16,Day-08,1
M-16,Day-09,0
M-16,Day-10,0
M-16,Day-11,0
M-16,Day-12,0
M-16,Day-13,0
M-16,Day-14,0
M-16,Day-15,0
M-17,Day-01,0
M-17,Day-02,0
M-17,Day-03,0
M-17,Day-04,0
M-17,Day-05,0
M-17,Day-06,1
M-17,Day-07,12
M-17,Day-08,33
M-17,Day-09,36
M-17,Day-10,14
M-17,Day-11,1
M-17,Day-12,0
M-17,Day-13,0
M-17,Day-14,0
M-17,Day-15,0
M-18,Day-01,2
M-18,Day-02,7
M-18,Day-03,14
M-18,Day-04,24
M-18,Day-05,23
M-18,Day-06,16
M-18,Day-07,8
M-18,Day-08,2
M-18,Day-09,0
M-18,Day-10,0
M-18,Day-11,0
M-18,Day-12,0
M-18,Day-13,0
M-18,Day-14,0
M-18,Day-15,0
M-19,Day-01,0
M-19,Day-02,0
M-19,Day-03,0
M-19,Day-04,0
M-19,Day-05,1
M-19,Day-06,14
M-19,Day-07,32
M-19,Day-08,32
M-19,Day-09,15
M-19,Day-10,2
M-19,Day-11,0
M-19,Day-12,0
M-19,Day-13,0
M-19,Day-14,0
M-19,Day-15,0
M-20,Day-01,0
M-20,Day-02,2
M-20,Day-03,14
M-20,Day-04,33
M-20,Day-05,32
M-20,Day-06,14
M-20,Day-07,2
M-20,Day-08,0
M-20,Day-09,0
M-20,Day-10,0
M-20,Day-11,0
M-20,Day-12,0
M-20,Day-13,0
M-20,Day-14,0
M-20,Day-15,0
M-21,Day-01,0
M-21,Day-02,0
M-21,Day-03,1
M-21,Day-04,50
M-21,Day-05,46
M-21,Day-06,1
M-21,Day-07,0
M-21,Day-08,0
M-21,Day-09,0
M-21,Day-10,0
M-21,Day-11,0
M-21,Day-12,0
M-21,Day-13,0
M-21,Day-14,0
M-21,Day-15,0
M-22,Day-01,0
M-22,Day-02,0
M-22,Day-03,0
M-22,Day-04,0
M-22,Day-05,7
M-22,Day-06,42
M-22,Day-07,40
M-22,Day-08,8
M-22,Day-09,0
M-22,Day-10,0
M-22,Day-11,0
M-22,Day-12,0
M-22,Day-13,0
M-22,Day-14,0
M-22,Day-15,0
M-23,Day-01,0
M-23,Day-02,0
M-23,Day-03,0
M-23,Day-04,0
M-23,Day-05,0
M-23,Day-06,1
M-23,Day-07,4
M-23,Day-08,16
M-23,Day-09,27
M-23,Day-10,28
M-23,Day-11,15
M-23,Day-12,5
M-23,Day-13,0
M-23,Day-14,0
M-23,Day-15,0
M-24,Day-01,0
M-24,Day-02,5
M-24,Day-03,15
M-24,Day-04,31
M-24,Day-05,28
M-24,Day-06,12
M-24,Day-07,4
M-24,Day-08,0
M-24,Day-09,0
M-24,Day-10,0
M-24,Day-11,0
M-24,Day-12,0
M-24,Day-13,0
M-24,Day-14,0
M-24,Day-15,0
M-25,Day-01,0
M-25,Day-02,0
M-25,Day-03,0
M-25,Day-04,0
M-25,Day-05,0
M-25,Day-06,2
M-25,Day-07,16
M-25,Day-08,31
M-25,Day-09,33
M-25,Day-10,14
M-25,Day-11,1
M-25,Day-12,0
M-25,Day-13,0
M-25,Day-14,0
M-25,Day-15,0
M-26,Day-01,0
M-26,Day-02,0
M-26,Day-03,0
M-26,Day-04,4
M-26,Day-05,17
M-26,Day-06,29
M-26,Day-07,29
M-26,Day-08,14
