day,machine,production
Day-01,M-01,75
Day-02,M-01,115
Day-03,M-01,75
Day-04,M-01,55
Day-05,M-01,75
Day-06,M-01,50
Day-07,M-01,70
Day-08,M-01,50
Day-09,M-01,115
Day-10,M-01,55
Day-11,M-01,115
Day-12,M-01,145
Day-13,M-01,130
Day-14,M-01,95
Day-15,M-01,115
Day-16,M-01,55
Day-17,M-01,55
Day-18,M-01,105
Day-19,M-01,115
Day-20,M-01,125
Day-01,M-02,55
Day-02,M-02,145
Day-03,M-02,120
Day-04,M-02,95
Day-05,M-02,50
Day-06,M-02,75
Day-07,M-02,130
Day-08,M-02,80
Day-09,M-02,115
Day-10,M-02,60
Day-11,M-02,95
Day-12,M-02,70
Day-13,M-02,115
Day-14,M-02,145
Day-15,M-02,90
Day-16,M-02,65
Day-17,M-02,135
Day-18,M-02,145
Day-19,M-02,140
Day-20,M-02,75
Day-01,M-03,110
Day-02,M-03,130
Day-03,M-03,135
Day-04,M-03,90
Day-05,M-03,130
Day-06,M-03,110
Day-07,M-03,50
Day-08,M-03,95
Day-09,M-03,95
Day-10,M-03,85
Day-11,M-03,115
Day-12,M-03,60
Day-13,M-03,140
Day-14,M-03,60
Day-15,M-03,85
Day-16,M-03,75
Day-17,M-03,105
Day-18,M-03,80
Day-19,M-03,120
Day-20,M-03,55
