machine,day,maintenance
M-01,Day-01,0
M-01,Day-02,0
M-01,Day-03,0
M-01,Day-04,0
M-01,Day-05,0
M-01,Day-06,0
M-01,Day-07,0
M-01,Day-08,0
M-01,Day-09,1
M-01,Day-10,0
M-01,Day-11,0
M-01,Day-12,0
M-01,Day-13,0
M-01,Day-14,0
M-01,Day-15,0
M-01,Day-16,0
M-01,Day-17,0
M-01,Day-18,0
M-01,Day-19,0
M-01,Day-20,0
M-02,Day-01,0
M-02,Day-02,0
M-02,Day-03,0
M-02,Day-04,0
M-02,Day-05,0
M-02,Day-06,0
M-02,Day-07,0
M-02,Day-08,0
M-02,Day-09,0
M-02,Day-10,0
M-02,Day-11,0
M-02,Day-12,1
M-02,Day-13,0
M-02,Day-14,0
M-02,Day-15,0
M-02,Day-16,0
M-02,Day-17,0
M-02,Day-18,0
M-02,Day-19,0
M-02,Day-20,0
M-03,Day-01,0
M-03,Day-02,0
M-03,Day-03,0
M-03,Day-04,0
M-03,Day-05,0
M-03,Day-06,0
M-03,Day-07,0
M-03,Day-08,0
M-03,Day-09,0
M-03,Day-10,0
M-03,Day-11,0
M-03,Day-12,0
M-03,Day-13,0
M-03,Day-14,0
M-03,Day-15,0
M-03,Day-16,0
M-03,Day-17,1
M-03,Day-18,0
M-03,Day-19,0
M-03,Day-20,0
